"band","acl","bonnaroo","coachella","lollapalooza","outsidelands","year"
"Jimmy Eat World",0,0,1,0,0,2011
"Joy Orbison",0,0,1,0,0,2011
"Kanye West1",1,0,1,0,0,2011
"Kele",0,0,1,0,0,2011
"Kings of Leon2",0,0,1,0,0,2011
"Klaxons",0,0,1,0,0,2011
"Kode9",0,0,1,0,0,2011
"Kyle Hall",0,0,1,0,0,2011
"Laidback Luke",0,0,1,0,0,2011
"Leftfield",0,0,1,0,0,2011
"Lightning Bolt",0,0,1,0,0,2011
"Lil' B",0,0,1,0,0,2011
"Lorn",0,0,1,0,0,2011
"Magnetic Man",0,0,1,0,0,2011
"Mala",0,0,1,0,0,2011
"Marina and the Diamonds",0,0,1,0,0,2011
"Mary Anne Hobbs",0,0,1,0,0,2011
"MEN",0,0,1,0,0,2011
"Menomena",0,0,1,0,0,2011
"Monarchy",0,0,1,0,0,2011
"Mount Kimbie",0,0,1,0,0,2011
"Moving Units",0,0,1,0,0,2011
"Ms. Lauryn Hill",0,0,1,0,0,2011
"Nas & Damian Marley",0,0,1,0,0,2011
"New Pants",0,0,1,0,0,2011
"Nosaj Thing",0,0,1,0,0,2011
"OFF!",0,0,1,0,0,2011
"OFWGKTA",0,0,1,0,0,2011
"Omar Rodriguez Lopez",0,0,1,0,0,2011
"One Day as a Lion",0,0,1,0,0,2011
"Ozomatli1",0,0,1,0,0,2011
"Paul van Dyk",0,0,1,0,0,2011
"PJ Harvey",0,0,1,0,0,2011
"Plan B",0,0,1,0,0,2011
"Ramadanman",0,0,1,0,0,2011
"Raphael Saadiq1",0,0,1,0,0,2011
"Ras G",0,0,1,0,0,2011
"Riva Starr",0,0,1,0,0,2011
"Roska",0,0,1,0,0,2011
"Rye Rye1",0,0,1,0,0,2011
"Sander Kleinenberg",0,0,1,0,0,2011
"Sasha",0,0,1,0,0,2011
"Scala & Kolacny Bros.",0,0,1,0,0,2011
"She Wants Revenge",0,0,1,0,0,2011
"Shpongle presents The Shpongletron Experience",0,0,1,0,0,2011
"Steve Angello",0,0,1,0,0,2011
"Sven Vath",0,0,1,0,0,2011
"Take",0,0,1,0,0,2011
"Terror Danjah",0,0,1,0,0,2011
"Thao with the Get Down Stay Down",0,0,1,0,0,2011
"The Aquabats",0,0,1,0,0,2011
"The Chemical Brothers",0,0,1,0,0,2011
"The Felice Brothers1",0,0,1,0,0,2011
"The Henry Clay People1",0,0,1,0,0,2011
"The London Suicide",0,0,1,0,0,2011
"The Love Language",0,0,1,0,0,2011
"The Morning Benders2",0,0,1,0,0,2011
"The National3",0,0,1,0,0,2011
"The New Pornographers1",0,0,1,0,0,2011
"The Presets1",0,0,1,0,0,2011
"The Radio Dept. ",0,0,1,0,0,2011
"The Rural Alberta Advantage",0,0,1,0,0,2011
"The Swell Season1",0,0,1,0,0,2011
"The Twelves",0,0,1,0,0,2011
"Thunderball",0,0,1,0,0,2011
"Trentemoller",0,0,1,0,0,2011
"Warpaint1",0,0,1,0,0,2011
"Wire",0,0,1,0,0,2011
"YACHT",0,0,1,0,0,2011
"Charles Bradley",1,0,0,0,1,2011
"Diego's Umbrella",0,0,0,0,1,2011
"Ghost Robot",0,0,0,0,1,2011
"John Fogerty1",0,0,0,0,1,2011
"Josh Ritter",0,0,0,0,1,2011
"Julieta Venegas",0,0,0,0,1,2011
"Latryx",0,0,0,0,1,2011
"Lotus1",0,0,0,0,1,2011
"MGMT3",0,0,0,0,1,2011
"Nicki Bluhm & The Gramblers",0,0,0,0,1,2011
"OK Go1",0,0,0,0,1,2011
"Old 97's",0,0,0,0,1,2011
"Pajama Party",0,0,0,0,1,2011
"Sia2",0,0,0,0,1,2011
"STRFKR",0,0,0,0,1,2011
"Sunbirds",0,0,0,0,1,2011
"Tamaryn",0,0,0,0,1,2011
"The Fresh & Onlys",0,0,0,0,1,2011
"The Greyboy Allstars",0,0,0,0,1,2011
"The Infamous Stringdusters",0,0,0,0,1,2011
"The Limousines",0,0,0,0,1,2011
"The Original Meters",0,0,0,0,1,2011
"The Stone Foxes",0,0,0,0,1,2011
"Toro y Moi",0,0,0,0,1,2011
"Ty Segall",0,0,0,0,1,2011
"Vetiver",0,0,0,0,1,2011
